title,text,type,zip,sourceUrl
Chicago COVID-19 Mutual Aid Volunteer Sign-up,This list is being compiled by Chicago organizer Kelly Hayes to share with groups that are doing mutual aid work around COVID-19 in Chicago.,need,60007,https://docs.google.com/forms/d/e/1FAIpQLSd0MK1dnny1BTlzvohuRlnlC6fHqXKqez0hrZJLuZ6F4-qu9w/viewform
Families of Jackie Vaughn Student Quarantine,We are raising money for the families who are unable to go to work in order to stay home with their students from March 7 through March 18 due to the self quarantine requested by CPS along with the Chicago Department of Public Health.,need,60641,https://www.gofundme.com/f/families-of-jackie-vaughn-student-quarantine
Chicago Mutual Aid Network ,Connects Those In Need With Helpers Across The City,network,60007,https://blockclubchicago.org/2020/03/18/chicago-mutual-aid-network-connects-those-in-need-with-helpers-across-the-city/?fbclid=IwAR2eVK2dsptlep6C_IgZhjDWlccfkIrU_SSr5HCOqZoADj1tBLD2ThpBmoI
Springfield Families Helping Families,"Use this group to offer support while the schools are closed. If you need help or can give help, please post, and please invite other Springfield families!",network,62629,https://www.facebook.com/groups/SpringfieldHelp/learning_content/
List of volunteers for COVID-19,Helpers for elderly and those with weakened immune systems ,network,61801,https://docs.google.com/spreadsheets/d/10a2ySSF2exRJ7g94PRGKHuwWHQOlRk3Aemff7EeheFg/edit#gid=0
COVID-19 Emergency Food Fund,"raising funds for Black, Indigenous, and/or People of Color families impacted by the coronavirus pandemic. ",need,40018,https://www.gofundme.com/f/covid19-emergency-food-pool?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet
VoixNoire COVID-19 Relief,"If you are a Black or Indigenous person experiencing hardship during this pandemic, send an email to RonaRationsVoix@gmail.com and include a social media profile link, zip code, delivery address for food/groceries and Cash App or Venmo links. Asks are fulfilled on a first-come first-serve basis and dependent on the resources available through community donations made. | If you are able to donate to the pool for COVID-19 relief you may give to our COVID Fund, Food Security Pool, or direct cash to Creighton's Cash App or Venmo. Since March 29, 2020 we have distributed over $26,000 in relief to those affected by COVID-19. Your financial donations are needed to continue the work.",network,40018,https://voixnoire.com/
DSA New Orleans COVID19 Survey,"we are organizing to pressure the Convention Center to allocate $100 million of their total assets to establish a fair fund for hospitality workers. We're also organizing regular trainings to teach people how to file for unemployment, as well as trainings on how to have organizing conversations that move people to action. We need all hands on deck! If you can volunteer, please fill out this form.",network,70032,https://docs.google.com/forms/d/1DJouLPkGr55NVH94m8hluhGXEu5msIVgqwEtlthl9xY/viewform?edit_requested=true
NOLA Community Mutual Aid,"This spreadsheet is an attempt to connect NOLA COMMUNITY MEMBERS who have resources to offer with those who need resources. If you have a request or can offer aid, please make a post in the relevant tab. We are all here to help each other out in this difficult and crazy transition :)",network,70032,https://docs.google.com/spreadsheets/d/1dC2CZVbEK0qIOEiL4J_PtPUJkDHP2WCm2uLX3gVVYeE/edit#gid=1727309836
Mutual Aid Jamaica Plain & Roxbury,"Welcome to the Mutual Aid Jamaica Plain & Roxbury network! In these fast moving and uncertain times, it’s important that we show up for each other and remember that we are not alone.  | ¡Bienvenidas a la red de Ayuda Mutua de Jamaica Plain y Roxbury! En estos tiempos inciertos y acelerados, es importante colaborar con los demás y recordar que no estamos solas. ",network,02130,https://docs.google.com/document/d/1sprOsMLFieTEU6fakfG5mqirp3AUUGKGz6JnDg29n78/edit
Mutual Aid Jamaica Plain & Roxbury,"Welcome to the Mutual Aid Jamaica Plain & Roxbury network! In these fast moving and uncertain times, it’s important that we show up for each other and remember that we are not alone.  | ¡Bienvenidas a la red de Ayuda Mutua de Jamaica Plain y Roxbury! En estos tiempos inciertos y acelerados, es importante colaborar con los demás y recordar que no estamos solas. ",network,02119,https://docs.google.com/document/d/1sprOsMLFieTEU6fakfG5mqirp3AUUGKGz6JnDg29n78/edit
Mutual Aid Medford And Somerville (MAMAS),"As things get harder, we show up for our neighbors",network,02156,https://docs.google.com/document/d/1j8ADhLEuKNDZ1a_opmzudywJPKMXcNKu01V1xY2MiIA/preview
Mutual Aid Medford And Somerville (MAMAS),"As things get harder, we show up for our neighbors",network,02129,https://docs.google.com/document/d/1j8ADhLEuKNDZ1a_opmzudywJPKMXcNKu01V1xY2MiIA/preview
Tufts Mutual Aid for Students Affected by COVID-19,This form is for Tufts students and members of the Tufts community to offer assistance to Tufts students affected by the COVID-19 Spring 2020 semester cancellation. ,network,02155,https://docs.google.com/forms/d/e/1FAIpQLSfZnww2E9qB8LfAr6SX__i1qUICM153H2rTxy2QpqS-k6LolQ/viewform
Mutual Aid Worcester,"Mutual Aid Worcester orignated as a Facebook group for people from Worcester, MA and the Worcester area to share resources and support for the community in response to the COVID-19 crisis. This site is a collection of the resources shared within that group and is informational only.",network,01601,https://mutualaidworcester.org/
COVID-19 & Freelance Artists,"This list is specifically designed to serve freelance artists, and those interested in supporting the independent artist community. ",network,00000,https://covid19freelanceartistresource.wordpress.com/
Western-Mass Low Income Freelancer Relief Fundraiser,"This fund aims to provide support to low-income, People of Color, Trans, Non-Binary, Queer, single parent artists and freelancers whose livelihoods are being effected by this pandemic.",action,01376,https://www.gofundme.com/f/westernmass-low-income-freelancer-fund?fbclid=IwAR030bnDGeq1_2mr_NaYi94jAVq4jVc8YNlk_NFLkWPIBDWNBBZTKDKfh-4
Western-Mass Low Income Freelancer Relief Application,"Thanks for applying to the Western-Mass Low-Income Artist/Freelancer Relief Fund. Please fill out the survey as best as you can, or message us if there is difficulty doing so.",offer,01376,https://docs.google.com/forms/d/e/1FAIpQLSe8nDCpoT5Bb0q8oT7xzLHOBl90NegeG9ITc5MkuB_bgtUIfQ/viewform
Grand Rapids Area Mutual Aid Network,"Chip in to help our neighbors buy cleaning supplies, buy food and medicine, and make up for lost wages if they need to stay home to stay alive or keep their sick and disabled and elder family members safe!",network,49501,https://www.paypal.com/pools/c/8nkfBWx7oe
Huron Valley COVID-19 Mutual Aid Form - Formulario de ayuda mutua,"Please fill out this form to the best of your ability. If you have any questions, email us at mutualaidhv@gmail.com. | Si tiene alguna pregunta, envíenos un correo electrónico a mutualaidhv@gmail.com.",network,48441,https://docs.google.com/forms/d/e/1FAIpQLSdhW2voPOll9Jmy_QR0AXk1Pge1JGn3tByJ-SlPfKNsMjcHLg/viewform
Kzoo Covid-19 Mutual Aid List,This list is being compiled by Kzoo Covid-19 Mutual Aid to share with groups that are doing mutual aid work around COVID-19 in Kalamazoo.,network,49001,https://docs.google.com/forms/d/e/1FAIpQLSeW-Dmt_Z_QPu81ad0jo5gs4vjx2zREupOmdoLnn2JBntapGg/viewform
South Minneapolis Mutual Aid -- COVID 19,"Hey! Are you concerned about the novel coronavirus? Are you chill, but want to help your community? Here's a place to organize needs and offers that our community has for each other.",network,55401,https://docs.google.com/spreadsheets/d/1ZSLDZY4DD85gnGXTAeLtKCxofdOHRcX4zYWAQf7A_GU/edit#gid=0
Northeast Minneapolis Mutual Aid -- COVID 19 (Ayuda mutua contra Corona Virus),"Hey! Are you concerned about the novel coronavirus? Are you chill, but want to help your community? Here's a place to organize needs and offers that our community has for each other.",network,55413,https://docs.google.com/spreadsheets/d/1vQjapmFHqD7YoopXZhZ9_th36qFMHitWxjoOKe3v4bU/edit#gid=1600887465
Twin Cities Music Community Trust,"If you love the Twin Cities music community, and you have the means to, please consider donating to the TC Music Community Trust Entertainment Industry relief fund.",network,55403,https://www.twincitiesmusiccommunitytrust.org/
Twin Cities Queer and Trans Mutual Aid,"The idea behind this is to crowd source some mutual aid for queer/trans/nonbinary folks in the Twin Cities area, who are affected by Covid-19 or the current situation. You may be immune-compromised, chronically ill, asthmatic, or in another kind of high risk group. You may also be quarantined for some reason and need help. If you need help, this is a non-judgmental place to ask for help and hopefully get it",network,55411,https://docs.google.com/forms/d/e/1FAIpQLSdAlOLU9hOKMjwX4W2sQKF69FAF3ow_fSPzjKC67_iyYDRLaQ/viewform
Childcare or Household Management Request by Healthcare Workers During COVID-19,Our mission is to help healthcare providers in the Twin Cities/Metro Area who  need help managing their household while serving at the frontlines during the coronavirus outbreak.  It takes a village!,network,55109,https://www.mncovidsitters.org/
Community Emergency Relief Fund,"The communities we live in experience emergencies everyday: violence, racism, natural disasters and other threats to a community's health and wellbeing. Can your art shed light on an emergency in your community, or help your community stand together? Springboard for the Arts and Emergency Arts have teamed up to offer support for artist-led projects via our Community Emergency Relief Fund!",network,55109,https://springboardforthearts.org/additional-resources/community-emergency-relief-fund/
UMiss and LOU Community Mutual Aid,"This spreadsheet is for all community members: students, staff, faculty, and non-university affiliated Oxonians! Please add any needs you have or help you can offer.",network,38655,https://docs.google.com/spreadsheets/d/1j6rfTv8nRLhQk0TregwulVwS2Cb2QormbT_qaGcaAYk/edit#gid=0
Kansas City Mutual Aid,This is a group for the community to share and request resources during and after the COVID-19 pandemic. ,network,64030,https://www.facebook.com/groups/1596299170524391/?fref=mentions
St. Louis Community Prep/Mutual Aid Group,"this a general group focused on COVID-19 mutual aid and political organizing for St. Louis, Missouri.",network,63101,https://www.facebook.com/groups/865160550592197/?epa=SEARCH_BOX
Mutual Aid & Defense NH,Mutual Aid NH is a grassroots organization comprised of working class Granite Staters dedicated to strengthening our communities through direct action.,network,03301,https://www.facebook.com/MutualAidandDefenseNH/?ref=br_rs
Emergency Food Delivery Volunteers,This form is to identify assistance that you currently need and are unable to get on your own. South Jersey ,need,07078,https://docs.google.com/forms/d/e/1FAIpQLSdUTAWBd4f6XvZBgiS427DtGs7_vOuXWbBFVHtYSqMGa-yAYw/viewform?fbzx=-5100045008882770406
Coronavirus Resources for New Jersey,This document is intended to be a clearinghouse for information that can help individuals and communities in a time of crisis. It is a dynamic document that will be updated as new resources become available or brought to our attention. It can be freely shared to anyone it would benefit.,network,07097,https://docs.google.com/document/d/19zQvprqJYjfqxDHOft_BYhjkVaGUqeYyd8DVFz18L5g/edit#
NY Capital Region COVID-19 Support,"Hi Capital District community! We've created this spreadsheet to address the growing needs of our community from the impacts of COVID19. We are using the model of mutual aid practices—helping each other in times of crisis. Mutual aid practices recognize that we are all vulnerable and advocate for collective well-being through class solidarity, disability justice, anti-racism, abolition.",network,12202,https://docs.google.com/spreadsheets/d/13UBm4YpvppqWqxrYHIn51dH8DtwCL3tIcaPgMv7GBts/edit
NYC COVID-19 Response Fund,"We are pooling funds to offer support to Black folk in the NYC area impacted by COVID-19. We will offer financial support, quarantine supplies & any other support needed. Please donate whatever you can and share this link with your networks. This virus has proven once again that we are all we have so let's show up for each other in the ways that matter.",need,10001,https://www.paypal.com/pools/c/8nnys8G2Qc
Abolition Action Grocery Fund,"Abolition Action is a small NYC prison abolitionist collective committed to political education, resistance, and mutual aid. Our grocery fund is for any comrades who are experiencing food insecurity as Covid-19 begins to impact livelihoods. ",network,10001,https://www.paypal.com/pools/c/8nkKZwBPnV
Invisible Hands,Volunteers delivering groceries and supplies to the most at-risk community members facing COVID-19. Please note: we are currently only serving the greater New York area and parts of New Jersey,network,10001,https://www.invisiblehandsdeliver.com/
NYC United Against Coronavirus - Resources and Information,This document contains information and resources to help New Yorkers respond to the coronavirus. Please note there is a lot of misinformation out there so please check all medical/science information with the current CDC and WHO guidelines.,misc,10001,https://docs.google.com/document/d/18WYGoVlJuXYc3QFN1RABnARZlwDG3aLQsnNokl1KhZQ/preview
Mutual Aid NYC,We are a network of groups organizing to provide aid and support to New Yorkers in the midst of the COVID-19 pandemic.,network,10001,https://mutualaid.nyc/
Emergency COVID Relief for Sex Workers in New York,"This relief fund will be providing monetary aid to sex workers in the New York City area who have been impacted by the COVID-19 pandemic. We are asking for donations and help from allies, clients, organizations, and workers not impacted by the pandemic so that we can take care of our community during this uncertain time! | If you are in need of assistance and would like to apply to the relief fund, please email brooklynswop@protonmail.com .",network,10001,https://www.gofundme.com/f/z6w8v5?utm_source=customer&utm_medium=copy_link&utm_campaign=p_cf+share-flow-1
Coronavirus Resources Aggregate List,,need,10001,https://docs.google.com/document/d/18f8rZTLwOoSqjBqSkxorLvj3z1cuzOkDSO0VRtnsAwM/edit
Survived & Punished Donation, Survived & Punished is an all-volunteer grassroots coalition working to realize our vision of freedom for criminalized and incarcerated survivors and our communities. Our work relies on grassroots donations and your support is key to keeping the work moving.,network,10001,https://survivedandpunished.org/donate/
Bail Opportunities,"If you know of anyone locked up on bail in NYC who’s immunocompromised or otherwise at high risk during a viral outbreak, DM me & I may be able to help get them out if the bail isn’t astronomical.",offer,10001,https://twitter.com/srfeld/status/1237356159549558785
Cinema Worker Solidarity Fund,"With the assistance of Light Industry, Screen Slate, and other community partners, we have started a fund that can be accessed by cinema workers whose hours have been curtailed because of this crisis and who are not being otherwise compensated.",action,10001,https://www.gofundme.com/f/cinema-worker-solidarity-fund
Mutual Aid Carrboro,"In the coming weeks, potentially millions of workers will be sent home without pay. For the most precarious, that could mean evictions, utility shut-offs, missed payments,and other economic catastrophes. That's why NC Piedmont DSA is partnering with Carrboro Mutual Aid and Mutual Aid Disaster Relief efforts in the Triangle to create the COVID-19 Mutual Aid Relief Fund.",action,72510,https://donorbox.org/nc-solidarity-fund
Durham Help,"Attached are two spreadsheets. One is for individuals and the other for small businesses, and each contains information about how you can offer your financial support. There are notes in each sheet that you should read before you take any action. ",network,72517,https://docs.google.com/document/d/1q6sSt35JPjMsUJ02eeE9OTVXs1lxrj81pTDZdObgHpc/edit
Durham Artist Relief Fund,"Funds donated here go directly to artists and arts presenters in Durham who have been financially impacted by cancellations due to COVID-19, with priority given to to BIPOC artists, transgender & nonbinary artists, and disabled artists (note: we will try to help as many artists with need in Durham as we can).",action,72517,https://www.northstardurham.com/artistrelief
DPS Foundation - Donations,Donate to make a difference for DPS students affected by COVID-19 school closings,need,72517,https://bullcityschools.z2systems.com/np/clients/bullcityschools/donation.jsp?campaign=9
Creating Social Distance: ,SIWANC - CH and Durham,need,72517,https://www.gofundme.com/f/creating-social-distance-the-triangle-nc
Down Home North Carolina Mutual Aid Fund,"Too many families in North Carolina can't protect their families from the COVID-19 pandemic. That's because they can't purchase items like cleaning supplies with EBT/SNAP and often their wages are just too low to cover an unexpected expense. At Down Home, we believe everyone should have access to these basic protections.",action,28738,https://secure.everyaction.com/l5dosV6fpUyYSe7GqIIEQg2
Norman Community Relief - Volunteer Sign-up Form,We are a volunteer grassroots group in Norman Oklahoma setting up an infrastructure for emergency response including supplies and services. We are prioritizing getting help to folks who are most vulnerable in a crisis. ,network,73019,https://docs.google.com/forms/d/e/1FAIpQLSeJzEhGGaXUZC60uiOScPq16JRt345oEvpL6H7evEj-4PVejg/viewform
NOISE and Raising Native Hope for unhoused Native folks,"As you know winter is coming on and the weather is getting colder and we feel we need to take some quick action on helping our brothers and sisters. For now we are gathering up blankets, gloves, socks, hats, coats and non-perishable food items.",network,74008,https://www.facebook.com/raisinghope2017/
COVID19 Community Resources & Actions,Mutual Aid Network for Lane County Oregon,network,97401,https://docs.google.com/spreadsheets/d/1ReOQOWnQ-XRNkXUrrrB_X7eEWei1txeSrtO_Bb7r-fs/edit#gid=1657523487
"Portland Area Covid-19 Mutual Aid (Childcare, Volunteer)","Please use this form if you would like to help make deliveries, or offer support. ",offer,97035,https://docs.google.com/forms/d/e/1FAIpQLSfAMZHbn6md19Tb28SM53ayFAQK02xJv1NXVjL-J26tDZOQ-g/viewform
Portland Coronavirus Mutual Aid Fund,This is a fundraiser designed to support those impacted by COVID-19 from loss of work or for health costs. Anyone can directly submit funds request (expense). All expeditures are transparent yet anonymous. Scroll down for details.,action,97035,https://opencollective.com/portland-corona-virus-mutual-aid-fund#section-budget
Neighbors Helping Neighbors: Philly Mutual Aid for folks Affected by COVID-19,"Neighbors Helping Neighbors (NHN) is a Black, Brown, & Native-led group of community members & organizers involved with radical social justice organizations around the city. We are neighbors concerned about our communities and helping to make sure those most vulnerable and affected by COVID-19 get the help they need.  We are matching people in need with neighbors able to help. We offer support getting folks groceries, medicine, and supplies. We are volunteer run, we are not funded, and our aid comes directly from the community. ",network,19019,https://docs.google.com/forms/d/e/1FAIpQLSf4tHQTrOG0DDh6hytdw8rdN7sFkm74Q1yMii2YeOLis2qNvA/viewform
Care Web for Philadelphia's Disability Community During COVID-19,"Hi! If you're in Philadelphia and are a disabled person or ally of disability community, we've created a care web to get through COVID-19. A care web is a system of mutual aid and interdependence where we help each other instead of trying to get through this alone. Please fill out the form below to get started",network,19019,https://docs.google.com/forms/d/e/1FAIpQLSeZIfm8VC6Jhrviz1t29UF3qRd5TqSWHpRBHHFlH5bLSp26rw/viewform
PGH Artists Emergency Fundraiser,"We are currently raising $15,000 to provide payments of up to $250 per artist, to help abet the costs due to cancelled gigs and jobs. This can go towards helping people pay their rent, pay their bills, purchase food and other essentials.",action,15106,https://www.gofundme.com/f/pgh-artists-emergency-fund?sharetype=teams&member=3893616&pc=fb_tmb_campmgmtbnr_w&rcid=r01-158437118027-4dcbb9513a1344c6&utm_source=facebook&utm_medium=social&utm_campaign=p_lico%2Bbanner
Mutual Aid - Harrisburg,Mutual Aid - Harrisburg operates a monthly Free Store and Skill Share. Check here for schedules and announcements.,network,17025,https://www.facebook.com/MutualAidHarrisburg/?ref=br_rs
Providence Community Mutual Aid,QUESTIONS? Please email info@letserasethestigma.com. ,network,02860,https://docs.google.com/forms/d/e/1FAIpQLSenjuUhXCRwz0AvamQTihj6WsK-EX0ukG-aC88i4lFVaH6Q4A/viewform
COVID-19 Mutual Aid: PVD,"Project LETS is working in coalition with grassroots organizations in Rhode Island to support the most marginalized + vulnerable in our community. All donations to Project LETS during this crisis will directly help individuals, children, and families meet their basic needs.",network,02860,https://www.letserasethestigma.com/covid19
@firstaidcollectiveknox,"First Aid Collective Knox is an autonomous first-aid/wound care collective crew based in Knoxville, TN. Our mission mainly focuses around harm reduction: meeting people where they’re at and not leaving them there and reducing harms of alcohol and drug use through risk and rights material, needle exchanges, and peer and community support. We also supply street medics for actions and practice mutual aid. ",network,37901,https://linktr.ee/firstaidcollectiveknox
Care Web Austin,mutual aid network for Austin Texas,network,73301,https://docs.google.com/spreadsheets/d/1Eafuk2C9FZu5aW_gpPcDJPkbMCL6KA7UuBz2xfNAjug/edit#gid=1806223564
Corpus Christi area COVID-19,"If you cannot fill out the form or do not feel comfortable sharing personal information, please contact us at (361)360-1869 or corpuschristimutualaid@gmail.",network,78336,https://docs.google.com/forms/d/15VUrsdevEX34MfOcBN2OhP__6WypWPUb110gQ9pY390/viewform?edit_requested=true
Comunidad mutualista de Corpus Christi,"Formulario para ofrecer ayuda | Si Ud. no puede completar el formulario o no se siente cómodo/a dando información personal, por favor contáctenos por llamada/texto: (361) 360-1869 o correo electrónico: corpuschristimutalaid@gmail.com",network,78336,https://docs.google.com/forms/d/e/1FAIpQLSeFm-EpaIjhAoF3b2AHoOX0ID__A2Z-f3WKixgYukGBZ4m5dw/viewform
Fort Worth Artist & Service Worker Relief Fund,"This campaign is complete, but ongoing artist support is set up through United Way of Tarrant County, in partnership with Hear Fort Worth and Film Fort Worth. Apply, give, share! https://www.unitedwaytarrant.org/artistsrelieffund/",action,76006,https://www.gofundme.com/f/fort-worth-relief-fund
Laredo Mutual Aid/Ayuda Mutua Laredo,"Laredo Mutual Aid/Ayuda Mutua Laredo is a collaborative and community group which centers ""trade"" as a form of currency (hence, this is not a Buy/Sell group unless upon agreed with OP or commissioned). | Laredo Mutual Aid/Ayuda Mutua Laredo es un grupo colaborativo y comunitario que se enfoca en el ""intercambio"" de bienes y servicios para reemplazar la moneda como manera de transacción tradicional. ",network,78040,https://www.facebook.com/groups/2190227557872562?ref=m_notif&notif_t=story_reshare
South Texas Food Bank,"The South Texas Food Bank is on a mission to alleviate hunger in our South Texas communities. Please navigate through our website to find out how the South Texas Food Bank is nourishing lives, one meal at a time!",network,75068,http://www.southtexasfoodbank.org
Mutual Aid and Defense Vermont,"MADVT is a collective of mutual aid groups throughout VT dedicated to dismantling oppressive, hierarchical systems by creating cooperative support networks, mutual aid projects, and community defense programs.",network,05405,https://www.facebook.com/mutualaidanddefensevermont/?ref=br_rs
Cville Community Care Team: COVID Response,"Cville Community Cares is launching our second call for mutual aid, this time focused on feeding local community members. ",network,22901,https://congregatecville.com/
Support Richmond Restaurant Workers,This group is meant to act as a resource share for service industry workers in the midst of this public health crisis. ,network,23173,https://www.facebook.com/groups/520028688926393/
Shenandoah Mutual Aid,"Shenandoah Mutual Aid serves the people of the Shenandoah Valley by connecting resources to those who need it most. We stand for justice, democracy, and common defense within our communities. We are neighbors helping neighbors. We protect us.",network,22849,https://www.facebook.com/shenandoahmutualaid
Olympia Mutual Aid Collective,The intent of this group is to cultivate a safe space to share local and global community information and resources during the COVID-19 pandemic,network,98501,https://www.facebook.com/groups/210315513383928/
Covid19 Mutual Aid - Seattle,"Collective well-being through class solidarity, disability justice, anti-racism, abolition. Neoliberal individualistic public health hurts us all. Please donate and share: gf.me/u/xqfj69",network,98101,https://www.facebook.com/covid19mutualaid
Green Light Project Seattle’s Sex-Worker Aid Network Initiative,"Thank you for wanting to help with our mutual aid response to the CO-VID19 public health crisis. Please fill out this form so we can know preferred name and pronouns, skill set, time commitment, and anything else you would like us to know",network,98101,https://docs.google.com/forms/d/e/1FAIpQLSfxn0i0A1ymbrd8u50FETO7cnIgVkoXaLPVnkBjFDDx0Vkhhg/viewform
Seattle Artists Relief Fund Amid COVID-19,This fund is aimed at helping those in the greater Seattle arts community who have been financially impacted by cancellations due to COVID-19.,action,98101,https://www.gofundme.com/f/for-artists
Seattle Music Teachers Fund,"My name is Nate Omdal. I am a musician living in Seattle, Wa. I am raising funds for musicians living and working in the Seattle area who have lost income due to the Coronavirus.",action,98101,https://www.gofundme.com/f/seattle-music-teachers-fund
